uuid,name,sex,age,age_group,ethnicity,mother_tongue,religion,marital_status,education_level,field_of_study,occupation,occupation_sector,employment_status,city,district,region,residence_type,country,cultural_background,descriere_generala,profil_profesional,hobby_sport,hobby_arta_cultura,hobby_calatorii,hobby_culinar,career_goals_and_ambitions,persona_summary,skills_and_expertise_list,hobbies_and_interests_list,generation_timestamp,census_reference_year
13d26c91-8af4-4d2b-82a7-1d195bb65fdf,Doina Ursu,Feminin,26,25-34,Moldovean,Română,Ortodox,Necăsătorit,Liceal,,Comerciant mic,Agricultură,employed,Criuleni,Călărași,Centru,Rural,Moldova,,,,,,,,,,,,,2024
e225caed-a49a-45e0-831d-0384d28d8df5,Alexandru Cara,Masculin,61,55-64,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Șofer,Servicii,retired,Cimișlia,Basarabeasca,Sud,Urban,Moldova,,,,,,,,,,,,,2024
cb503a0b-d07e-4a49-bcb8-8f48b69c5e3e,Anatolie Gheorghe,Masculin,36,35-44,Moldovean,Română,Ortodox,Căsătorit,Superior (Licență/Master),Economie/Finanțe,Vânzător,Servicii,employed,Nisporeni,Orhei,Centru,Rural,Moldova,,,,,,,,,,,,,2024
20f9ff66-aac6-45a7-9150-26208627eabb,Constantin Ciorba,Masculin,51,45-54,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Preot,Agricultură,employed,Drochia,Mun. Bălți,Nord,Rural,Moldova,,,,,,,,,,,,,2024
68a192cf-aac3-4e59-867d-3df5bc1807bf,Vasili Ceban,Masculin,27,25-34,Găgăuz,Găgăuză,Musulman,Căsătorit,Doctorat,Agricultură,Zidar,Servicii,employed,Chirsova,UTA Găgăuzia,Gagauzia,Rural,Moldova,,,,,,,,,,,,,2024
2faa88d4-001f-4e77-acd4-a210d584d5f7,Tatiana Sirbu,Feminin,75,65+,Moldovean,Română,Ortodox,Văduv,Primar,,Pensionar (fost: contabil),,retired,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
6647d0fd-1e5f-4708-885c-08a736e13db8,Ludmila Gheorghe,Feminin,19,15-24,Moldovean,Română,Ortodox,Necăsătorit,Profesional/Tehnic,,Coafor,Industrie,other_inactive,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
dd5c01f0-c487-463a-8025-4564a6bdeeb7,Alexei Gheorghe,Masculin,59,55-64,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Tehnician,Servicii,homemaker,Nisporeni,Strășeni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
8a2ec449-cfd0-4ad8-b2f0-87b8b966364c,Ludmila Dogaru,Feminin,40,35-44,Găgăuz,Găgăuză,Musulman,Căsătorit,Liceal,,Personal de curățenie,Servicii,employed,Ceadîr-Lunga,UTA Găgăuzia,Gagauzia,Urban,Moldova,,,,,,,,,,,,,2024
a00498b7-8d7a-4630-a9c0-6c90ca8be64a,Maria Rotaru,Feminin,75,65+,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Pensionar (fost: inginer),,retired,Cimișlia,Cimișlia,Sud,Urban,Moldova,,,,,,,,,,,,,2024
dba6a3cf-9efd-458c-864c-92f8245685c4,Tatiana Cebotari,Feminin,81,65+,Moldovean,Română,Ortodox,Văduv,Gimnazial,,Pensionar (fost: inginer),,retired,Florești,Drochia,Nord,Rural,Moldova,,,,,,,,,,,,,2024
b5690e04-1a64-450f-8054-6e8a7b25d677,Roxana Dinu,Feminin,41,35-44,Român,Română,Ortodox,Necăsătorit,Profesional/Tehnic,,Croitoreasă,Industrie,other_inactive,Comrat,UTA Găgăuzia,Gagauzia,Urban,Moldova,,,,,,,,,,,,,2024
d7b111f6-be40-4e6f-9340-ea7b3b75ad7c,Victor Rotaru,Masculin,58,55-64,Moldovean,Română,Ortodox,Divorțat,Gimnazial,,Asistent medical,Agricultură,other_inactive,Nisporeni,Ungheni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
33e75bec-c007-4e2f-8219-88e392e7be9b,Iryna Kovalchuk,Feminin,50,45-54,Ucrainean,Ucraineană,Ortodox,Căsătorit,Fără studii,,Tâmplar,Servicii,other_inactive,Drochia,Fălești,Nord,Rural,Moldova,,,,,,,,,,,,,2024
84f1940d-104b-479a-a9b2-6fadf4b9a9c3,Ion Cercheș,Masculin,40,35-44,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Personal de curățenie,Servicii,homemaker,Telenești,Orhei,Centru,Rural,Moldova,,,,,,,,,,,,,2024
7d0a2b6f-d672-4862-8dbc-00497ef73d3f,Dumitru Buza,Masculin,60,55-64,Moldovean,Română,Ortodox,Separat,Gimnazial,,Croitoreasă,Servicii,other_inactive,Cimișlia,Basarabeasca,Sud,Urban,Moldova,,,,,,,,,,,,,2024
3f7dbf5f-884f-4068-81be-cdcaf4bf9f4d,Petr Chiosa,Masculin,75,65+,Găgăuz,Găgăuză,Musulman,Văduv,Fără studii,,Pensionar (fost: contabil),,retired,Chirsova,UTA Găgăuzia,Gagauzia,Rural,Moldova,,,,,,,,,,,,,2024
d62ba9a5-e057-4ffa-9183-2ce01024c8c1,Lidia Chirila,Feminin,60,55-64,Moldovean,Română,Ortodox,Căsătorit,Superior (Licență/Master),Inginerie,Avocat,Servicii,retired,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
1bb5f385-50c9-4b65-8fb9-132f981333db,Valentina Gheorghe,Feminin,46,45-54,Moldovean,Română,Ortodox,Separat,Primar,,Ospătar,Servicii,employed,Dubăsari,Ungheni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
7d1c49b5-d9ff-4acd-b835-638808d0c187,Galina Popa,Feminin,60,55-64,Moldovean,Română,Ortodox,Văduv,Profesional/Tehnic,,Croitoreasă,Industrie,other_inactive,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
c34120fc-6506-45af-b275-c9f7da91a131,Olga Rusu,Feminin,27,25-34,Moldovean,Română,Ortodox,Necăsătorit,Superior (Licență/Master),Inginerie,Preot,Agricultură,employed,Cimișlia,Taraclia,Sud,Rural,Moldova,,,,,,,,,,,,,2024
1025f423-5f51-462d-840a-c25906c46203,Olga Ciobanu,Feminin,38,35-44,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Lăcătuș,Servicii,employed,Cimișlia,Cimișlia,Sud,Rural,Moldova,,,,,,,,,,,,,2024
a3c6a154-3339-4ffd-b20e-2a0cf7017875,Maria Munteanu,Feminin,79,65+,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Comerciant mic,Agricultură,retired,Rîșcani,Soroca,Nord,Rural,Moldova,,,,,,,,,,,,,2024
1524fbbe-a523-4d5c-891e-968f306fa614,Ion Rotaru,Masculin,20,15-24,Moldovean,Română,Ortodox,Necăsătorit,Superior (Licență/Master),Științe Sociale,Student,Educație,student,Cahul,Cimișlia,Sud,Urban,Moldova,,,,,,,,,,,,,2024
6d2c91ce-d5e1-4f07-a189-6056902d8627,Irina Balan,Feminin,69,65+,Moldovean,Română,Ortodox,Văduv,Primar,,Pensionar (fost: medic),,retired,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
38171ab3-4fc5-49bf-9912-755d23d890b9,Vasile Sandu,Masculin,47,45-54,Moldovean,Română,Ortodox,Necăsătorit,Profesional/Tehnic,,Ospătar,Servicii,employed,Strășeni,Orhei,Centru,Rural,Moldova,,,,,,,,,,,,,2024
608aef0e-9bad-48f9-bc85-051a73fb25d8,Sergei Kuznetsov,Masculin,47,45-54,Rus,Rusă,Fără religie/Ateu,Căsătorit,Doctorat,Științe Sociale,Farmacist,Servicii,homemaker,Nisporeni,Rezina,Centru,Urban,Moldova,,,,,,,,,,,,,2024
42bca915-2943-405b-94c2-8132a61c9922,Iurie Ursu,Masculin,61,55-64,Moldovean,Română,Ortodox,Necăsătorit,Liceal,,Vânzător,Servicii,retired,Cantemir,Basarabeasca,Sud,Urban,Moldova,,,,,,,,,,,,,2024
9526b036-c054-4a29-8f58-3b15c7d63a85,Maria Mihai,Feminin,59,55-64,Român,Română,Ortodox,Văduv,Gimnazial,,Personal de curățenie,Servicii,employed,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
412c57d6-94c8-4883-9a60-1c4301513426,Cristina Bostan,Feminin,59,55-64,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Croitoreasă,Servicii,employed,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
0cfa2c62-57fd-492d-a30f-d061e98a2265,Veronica Popa,Feminin,74,65+,Moldovean,Română,Ortodox,Căsătorit,Gimnazial,,Agricultor,Servicii,retired,Soroca,Edineț,Nord,Urban,Moldova,,,,,,,,,,,,,2024
825ac9c4-e7aa-4d05-bb06-c8f710a8879e,Galina Smirnov,Feminin,49,45-54,Rus,Rusă,Fără religie/Ateu,Văduv,Liceal,,Șofer,Servicii,employed,Bubuieci,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
728293b0-0e81-4b15-90a4-34e7fd476c9d,Elena Bostan,Feminin,28,25-34,Moldovean,Română,Ortodox,Căsătorit,Doctorat,Economie/Finanțe,Îngrijitor,Servicii,student,Călărași,Telenești,Centru,Rural,Moldova,,,,,,,,,,,,,2024
711797e1-130a-4657-ab83-78815cf7d0c4,Rodica Cojocaru,Feminin,60,55-64,Moldovean,Română,Ortodox,Separat,Primar,,Zidar,Servicii,student,Budești,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
1d36f1a5-be9d-4d6e-8a94-a41a5b7dbce8,Ion Bologa,Masculin,47,45-54,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Îngrijitor,Agricultură,employed,Basarabeasca,Cimișlia,Sud,Rural,Moldova,,,,,,,,,,,,,2024
fc7fc1ad-a381-418a-a93a-499018db4b3e,Ana Munteanu,Feminin,49,45-54,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Muncitor necalificat,Servicii,other_inactive,Călărași,Criuleni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
60510d83-4cbd-43e1-9a24-8bcb0c9fdc7e,Irina Jelezoglo,Feminin,28,25-34,Găgăuz,Găgăuză,Ortodox,Căsătorit,Gimnazial,,Comerciant mic,Agricultură,employed,Ceadîr-Lunga,UTA Găgăuzia,Gagauzia,Rural,Moldova,,,,,,,,,,,,,2024
a6db55cc-d7ad-4fc3-bc45-58ad9e2fa553,Silvia Popa,Feminin,50,45-54,Moldovean,Română,Ortodox,Căsătorit,Liceal,,Fermier,Agricultură,homemaker,Strășeni,Orhei,Centru,Rural,Moldova,,,,,,,,,,,,,2024
a177a552-0d4f-4cbb-85d5-61c785cb3078,Vasile Rusu,Masculin,58,55-64,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Bucătar,Servicii,employed,Chișinău,Mun. Chișinău,Chisinau,Urban,Moldova,,,,,,,,,,,,,2024
9d393f0f-3d11-40b9-8c5d-c4cb1c2012d7,Nicolae Cojuhari,Masculin,47,45-54,Moldovean,Română,Ortodox,Căsătorit,Profesional/Tehnic,,Paznic,Servicii,employed,Criuleni,Dubăsari,Centru,Rural,Moldova,,,,,,,,,,,,,2024
533dc5b7-3c7b-4a44-8aa4-cbe1a61750a6,Andrei Popa,Masculin,83,65+,Moldovean,Română,Ortodox,Văduv,Primar,,Pensionar (fost: contabil),,retired,Fălești,Drochia,Nord,Rural,Moldova,,,,,,,,,,,,,2024
ce07f3f3-7b0b-4447-bdcf-52bd146cba6d,Dumitru Rotaru,Masculin,52,45-54,Moldovean,Română,Ortodox,Văduv,Liceal,,Agricultor,Servicii,employed,Strășeni,Strășeni,Centru,Rural,Moldova,,,,,,,,,,,,,2024
